subject,source,discourse_id,entity_amount,sentence_amount,positive,negative,share_rate
bn,cnn,cnn_0277,62,10,19,1,0.555556
bn,cnn,cnn_0303,58,9,19,1,0.375000
bn,cnn,cnn_0318,21,6,13,7,0.200000
bn,cnn,cnn_0365,55,10,3,17,0.333333
bn,cnn,cnn_0392,35,9,19,1,0.625000
bn,cnn,cnn_0405,35,6,18,2,0.400000
bn,pri,pri_0001,47,8,10,10,0.571429
bn,pri,pri_0002,42,8,4,16,0.428571
bn,pri,pri_0031,53,10,10,10,0.333333
bn,pri,pri_0042,39,7,17,3,0.333333
bn,pri,pri_0065,52,9,3,17,0.250000
bn,pri,pri_0098,38,8,8,12,0.285714
bn,voa,voa_0003,31,6,6,14,0.600000
bn,voa,voa_0052,57,9,17,3,0.625000
bn,voa,voa_0094,63,10,13,7,0.666667
bn,voa,voa_0143,66,10,19,1,0.888889
bn,voa,voa_0153,44,6,9,11,1.000000
bn,voa,voa_0178,49,10,0,20,0.111111
nw,wsj,wsj_0424,32,3,2,3,1.000000
nw,wsj,wsj_1030,36,4,5,15,0.666667
nw,wsj,wsj_1082,20,4,0,20,0.333333
nw,wsj,wsj_1090,14,2,0,1,1.000000
nw,wsj,wsj_1127,19,4,9,11,1.000000
nw,wsj,wsj_1152,37,5,11,9,0.250000
nw,wsj,wsj_1183,27,4,13,7,1.000000
nw,wsj,wsj_1228,21,5,10,10,0.500000
nw,wsj,wsj_1236,24,5,0,20,0.250000
nw,wsj,wsj_1240,24,4,9,11,1.000000
nw,wsj,wsj_1277,21,3,1,4,0.500000
nw,wsj,wsj_1301,36,4,9,11,1.000000
nw,wsj,wsj_1357,49,5,9,11,1.000000
nw,wsj,wsj_1370,26,3,2,3,1.000000
nw,wsj,wsj_1385,28,3,2,3,1.000000
nw,wsj,wsj_1414,24,4,9,11,1.000000
nw,wsj,wsj_1476,35,5,4,16,0.500000
nw,wsj,wsj_1497,41,5,9,11,1.000000
nw,wsj,wsj_1498,12,2,0,1,1.000000
nw,wsj,wsj_1513,23,3,2,3,1.000000
nw,wsj,wsj_1521,28,3,3,2,0.500000
nw,wsj,wsj_1527,22,3,2,3,1.000000
nw,wsj,wsj_1545,29,5,3,17,0.250000
nw,wsj,wsj_1557,20,5,9,11,0.500000
nw,wsj,wsj_1573,22,5,13,7,0.250000
nw,wsj,wsj_1989,31,5,13,7,0.750000
nw,xinhua,chtb_0064,42,3,3,2,0.500000
nw,xinhua,chtb_0171,27,5,6,14,0.500000
nw,xinhua,chtb_0188,28,3,3,2,0.500000
nw,xinhua,chtb_0228,37,4,18,2,0.666667
nw,wsj,wsj_1062,78,12,18,2,0.818182
nw,wsj,wsj_1064,74,13,14,6,0.750000
nw,wsj,wsj_1095,55,11,16,4,0.500000
nw,wsj,wsj_1138,91,13,13,7,0.666667
nw,wsj,wsj_1141,57,12,19,1,0.727273
